county,SEX AND AGE,total population,male,female,SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 5 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),RACE,race,RACE!!Total population!!One race,RACE!!Total population!!Two or more races,RACE!!Total population!!One race.1,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races.1,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,Race alone or in combination with one or more other races!!Total population,white,black or African American,American Indian and Alaska Native,Asian,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,HISPANIC OR LATINO AND RACE,HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Allegany County, New York",,"46,688",50.7%,49.3%,102.9,5.2%,5.5%,5.9%,10.0%,9.1%,10.1%,9.8%,11.7%,7.0%,7.3%,10.7%,5.4%,2.3%,39.1,20.2%,82.2%,79.8%,70.4%,22.7%,18.4%,"37,247",50.4%,49.6%,101.7,"8,596",47.7%,52.3%,91.0,,"46,688",98.8%,1.2%,98.8%,95.5%,1.5%,0.2%,0.0%,0.0%,0.0%,0.0%,1.2%,0.2%,0.5%,0.2%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,1.2%,0.3%,0.2%,0.3%,0.1%,,"46,688",96.5%,1.9%,0.6%,1.6%,0.2%,0.5%,,"46,688",1.6%,0.3%,0.2%,0.1%,1.0%,98.4%,94.4%,1.4%,0.2%,1.2%,0.0%,0.0%,1.1%,0.0%,1.1%,"26,373",,"36,677",50.6%,49.4%
"Bronx County, New York",,"1,435,068",47.1%,52.9%,89.2,7.3%,6.8%,6.8%,6.7%,7.5%,15.9%,12.6%,12.7%,5.8%,5.2%,7.0%,3.9%,1.6%,34.2,25.0%,77.8%,75.0%,70.8%,15.5%,12.5%,"1,076,664",45.9%,54.1%,84.7,"179,661",39.2%,60.8%,64.4,,"1,435,068",96.1%,3.9%,96.1%,22.0%,35.2%,0.7%,0.0%,0.0%,0.0%,0.0%,3.7%,1.2%,0.5%,0.4%,0.0%,0.1%,0.2%,1.2%,0.1%,0.0%,0.0%,0.0%,0.0%,34.4%,3.9%,1.1%,0.2%,0.3%,0.2%,,"1,435,068",24.3%,37.7%,1.5%,4.4%,0.3%,36.2%,,"1,435,068",56.0%,5.6%,19.0%,0.6%,30.8%,44.0%,9.1%,29.2%,0.2%,3.6%,0.0%,0.6%,1.1%,0.2%,1.0%,"529,796",,"849,351",45.0%,55.0%
"Broome County, New York",,"193,188",49.2%,50.8%,96.9,5.2%,5.6%,5.2%,7.8%,10.0%,11.1%,10.3%,12.0%,7.5%,6.7%,9.9%,5.8%,3.0%,39.9,19.5%,83.0%,80.5%,73.9%,22.4%,18.7%,"155,560",48.6%,51.4%,94.5,"36,107",43.3%,56.7%,76.3,,"193,188",96.7%,3.3%,96.7%,85.5%,5.7%,0.2%,0.0%,0.0%,0.0%,0.0%,4.3%,1.2%,1.5%,0.2%,0.1%,0.3%,0.4%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1%,3.3%,1.7%,0.4%,0.6%,0.1%,,"193,188",88.5%,7.6%,0.8%,5.1%,0.1%,1.4%,,"193,188",4.2%,0.5%,1.9%,0.1%,1.6%,95.8%,83.4%,5.2%,0.1%,4.3%,0.0%,0.0%,2.7%,0.1%,2.7%,"90,946",,"150,199",48.4%,51.6%
"Cattaraugus County, New York",,"77,121",49.7%,50.3%,98.8,5.7%,6.1%,6.6%,6.8%,6.3%,10.9%,10.7%,13.1%,7.8%,7.3%,10.8%,5.6%,2.3%,42.0,22.3%,80.3%,77.7%,73.3%,23.1%,18.7%,"59,937",49.2%,50.8%,96.9,"14,427",46.0%,54.0%,85.3,,"77,121",97.9%,2.1%,97.9%,91.9%,1.4%,3.2%,0.0%,0.0%,0.0%,0.0%,0.8%,0.2%,0.2%,0.0%,0.0%,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.6%,2.1%,0.8%,0.7%,0.2%,0.0%,,"77,121",93.8%,2.4%,4.0%,1.1%,0.0%,0.8%,,"77,121",2.1%,0.6%,1.0%,0.1%,0.4%,97.9%,90.6%,1.4%,3.1%,0.8%,0.0%,0.1%,1.9%,0.1%,1.8%,"41,596",,"59,389",49.2%,50.8%
"Cayuga County, New York",,"77,425",51.3%,48.7%,105.5,5.0%,5.5%,5.6%,6.1%,6.2%,12.2%,11.7%,13.8%,8.2%,7.4%,10.6%,5.1%,2.7%,42.9,19.9%,82.8%,80.1%,76.4%,22.7%,18.4%,"62,031",51.2%,48.8%,104.7,"14,212",46.1%,53.9%,85.6,,"77,425",97.5%,2.5%,97.5%,91.8%,4.3%,0.1%,0.0%,0.0%,0.0%,0.0%,0.6%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,2.5%,1.2%,0.6%,0.3%,0.0%,,"77,425",94.2%,5.5%,0.9%,0.9%,0.0%,1.1%,,"77,425",3.0%,0.6%,1.2%,0.1%,1.1%,97.0%,90.1%,4.1%,0.1%,0.6%,0.0%,0.1%,2.1%,0.0%,2.1%,"37,077",,"61,237",51.1%,48.9%
"Chautauqua County, New York",,"128,496",49.3%,50.7%,97.3,5.4%,5.3%,6.0%,7.1%,6.5%,11.7%,10.5%,12.8%,7.8%,7.3%,10.9%,5.9%,2.8%,42.6,20.5%,82.0%,79.5%,74.8%,23.6%,19.6%,"102,176",49.0%,51.0%,95.9,"25,157",44.6%,55.4%,80.6,,"128,496",98.0%,2.0%,98.0%,92.2%,2.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.6%,0.1%,0.3%,0.1%,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,2.2%,2.0%,0.8%,0.5%,0.3%,0.0%,,"128,496",94.1%,3.6%,1.0%,0.9%,0.1%,2.4%,,"128,496",7.5%,1.1%,5.3%,0.1%,1.0%,92.5%,87.4%,2.3%,0.3%,0.6%,0.0%,0.1%,1.8%,0.0%,1.7%,"67,645",,"100,841",48.9%,51.1%
"Chemung County, New York",,"84,895",49.5%,50.5%,98.2,5.8%,5.9%,6.0%,6.0%,6.0%,12.4%,11.8%,13.1%,7.7%,6.9%,10.2%,5.2%,3.0%,41.3,21.6%,81.0%,78.4%,74.8%,22.4%,18.4%,"66,568",49.3%,50.7%,97.3,"15,614",44.2%,55.8%,79.2,,"84,895",96.7%,3.3%,96.7%,88.1%,6.3%,0.3%,0.0%,0.0%,0.0%,0.0%,1.3%,0.4%,0.6%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,3.3%,1.9%,0.4%,0.5%,0.1%,,"84,895",91.2%,8.5%,0.9%,1.9%,0.1%,0.9%,,"84,895",3.1%,0.7%,1.2%,0.0%,1.1%,96.9%,86.2%,5.9%,0.3%,1.3%,0.0%,0.1%,3.1%,0.1%,3.0%,"38,870",,"65,523",49.2%,50.8%
"Chenango County, New York",,"47,909",50.1%,49.9%,100.4,5.3%,5.6%,6.1%,5.8%,5.5%,11.1%,10.8%,13.9%,7.6%,8.2%,11.8%,6.3%,2.1%,44.9,20.8%,81.7%,79.2%,76.3%,25.3%,20.2%,"37,958",49.9%,50.1%,99.4,"9,677",47.3%,52.7%,89.8,,"47,909",98.3%,1.7%,98.3%,96.1%,1.0%,0.4%,0.2%,0.0%,0.0%,0.0%,0.5%,0.0%,0.1%,0.1%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,1.7%,0.5%,0.6%,0.3%,0.0%,,"47,909",97.7%,1.6%,1.0%,0.9%,0.1%,0.5%,,"47,909",2.2%,0.3%,0.8%,0.2%,0.9%,97.8%,94.7%,0.9%,0.3%,0.4%,0.0%,0.0%,1.4%,0.0%,1.4%,"25,625",,"37,668",50.0%,50.0%
"Clinton County, New York",,"80,583",51.2%,48.8%,104.9,4.9%,4.9%,5.2%,7.3%,9.2%,12.7%,11.6%,13.3%,7.5%,7.0%,9.5%,5.0%,1.9%,39.5,18.0%,83.9%,82.0%,75.6%,20.2%,16.4%,"66,055",51.3%,48.7%,105.3,"13,218",45.9%,54.1%,84.8,,"80,583",98.6%,1.4%,98.6%,90.9%,4.3%,0.3%,0.0%,0.0%,0.0%,0.0%,1.4%,0.2%,0.4%,0.3%,0.1%,0.1%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,1.7%,1.4%,0.3%,0.4%,0.3%,0.0%,,"80,583",92.2%,4.8%,0.8%,1.8%,0.0%,1.9%,,"80,583",2.9%,0.5%,1.0%,0.0%,1.4%,97.1%,89.9%,4.1%,0.3%,1.4%,0.0%,0.2%,1.2%,0.0%,1.1%,"36,576",,"64,359",51.3%,48.7%
"Columbia County, New York",,"60,371",50.0%,50.0%,100.0,4.2%,4.7%,5.0%,5.3%,5.3%,10.9%,10.6%,14.3%,8.2%,8.3%,13.4%,7.0%,2.7%,48.2,17.6%,84.7%,82.4%,80.0%,28.1%,23.1%,"49,720",49.5%,50.5%,98.0,"13,936",46.8%,53.2%,87.9,,"60,371",97.3%,2.7%,97.3%,89.0%,4.5%,0.1%,0.0%,0.0%,0.0%,0.0%,1.8%,0.4%,0.4%,0.1%,0.0%,0.2%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%,2.7%,0.9%,0.5%,0.5%,0.4%,,"60,371",91.2%,6.1%,1.1%,2.4%,0.1%,2.0%,,"60,371",4.8%,0.9%,1.8%,0.2%,1.8%,95.2%,86.3%,4.3%,0.1%,1.7%,0.0%,0.2%,2.5%,0.1%,2.5%,"33,486",,"47,889",49.2%,50.8%
"Cortland County, New York",,"47,865",49.0%,51.0%,96.0,5.0%,5.6%,5.1%,9.3%,12.1%,11.6%,10.0%,12.3%,7.0%,6.0%,9.3%,4.6%,2.1%,36.4,19.2%,83.3%,80.8%,71.2%,19.5%,16.0%,"38,698",48.2%,51.8%,92.9,"7,668",45.2%,54.8%,82.5,,"47,865",98.1%,1.9%,98.1%,94.6%,1.9%,0.2%,0.0%,0.0%,0.0%,0.0%,0.8%,0.1%,0.3%,0.0%,0.0%,0.2%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,1.9%,0.8%,0.4%,0.6%,0.0%,,"47,865",96.5%,2.7%,0.7%,1.4%,0.1%,0.6%,,"47,865",2.7%,0.3%,1.1%,0.2%,1.2%,97.3%,92.6%,1.9%,0.2%,0.8%,0.0%,0.1%,1.7%,0.0%,1.7%,"20,737",,"38,391",48.1%,51.9%
"Delaware County, New York",,"44,995",50.5%,49.5%,101.8,3.9%,4.6%,5.2%,7.4%,6.1%,9.8%,9.4%,13.1%,7.9%,8.7%,13.9%,7.4%,2.7%,47.9,17.1%,85.7%,82.9%,77.3%,29.2%,24.0%,"37,309",50.3%,49.7%,101.1,"10,788",48.2%,51.8%,93.1,,"44,995",98.2%,1.8%,98.2%,94.7%,1.8%,0.1%,0.0%,0.0%,0.0%,0.0%,0.8%,0.1%,0.4%,0.0%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,1.8%,0.5%,0.5%,0.3%,0.1%,,"44,995",96.4%,2.6%,0.7%,1.3%,0.1%,0.9%,,"44,995",3.9%,0.8%,1.2%,0.1%,1.7%,96.1%,92.1%,1.5%,0.1%,0.8%,0.0%,0.1%,1.6%,0.0%,1.5%,"31,609",,"36,505",50.5%,49.5%
"Dutchess County, New York",,"293,754",49.7%,50.3%,98.9,4.6%,4.8%,5.8%,7.3%,7.4%,11.7%,11.5%,14.8%,7.9%,7.0%,9.6%,5.2%,2.2%,42.2,19.1%,83.4%,80.9%,75.6%,21.2%,17.1%,"237,558",49.4%,50.6%,97.6,"50,176",44.6%,55.4%,80.5,,"293,754",96.5%,3.5%,96.5%,78.2%,10.5%,0.3%,0.0%,0.0%,0.0%,0.0%,3.5%,1.1%,1.1%,0.2%,0.1%,0.5%,0.1%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%,3.8%,3.5%,1.4%,0.3%,0.6%,0.2%,,"293,754",81.1%,12.6%,1.0%,4.6%,0.2%,4.4%,,"293,754",12.2%,2.8%,4.7%,0.4%,4.2%,87.8%,71.5%,9.8%,0.1%,3.5%,0.0%,0.4%,2.5%,0.1%,2.4%,"120,789",,"224,529",49.3%,50.7%
"Erie County, New York",,"919,355",48.4%,51.6%,93.7,5.5%,5.5%,5.7%,6.4%,6.7%,14.2%,11.1%,13.1%,7.5%,6.9%,9.8%,5.1%,2.7%,40.3,20.4%,82.1%,79.6%,75.6%,21.5%,17.6%,"731,783",47.7%,52.3%,91.3,"161,744",42.6%,57.4%,74.3,,"919,355",97.6%,2.4%,97.6%,77.8%,13.5%,0.5%,0.0%,0.0%,0.0%,0.0%,3.6%,1.0%,0.7%,0.1%,0.1%,0.2%,0.2%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,2.2%,2.4%,1.0%,0.3%,0.4%,0.1%,,"919,355",79.9%,14.8%,1.0%,4.1%,0.1%,2.6%,,"919,355",5.5%,0.5%,3.8%,0.1%,1.1%,94.5%,75.5%,13.0%,0.5%,3.5%,0.0%,0.1%,1.9%,0.1%,1.8%,"428,362",,"706,724",47.7%,52.3%
"Essex County, New York",,"37,459",52.1%,47.9%,108.6,3.9%,4.5%,4.6%,5.3%,5.2%,12.1%,11.1%,13.9%,8.7%,8.0%,13.0%,6.9%,2.9%,47.7,16.4%,85.8%,83.6%,80.7%,27.3%,22.8%,"31,305",52.1%,47.9%,108.7,"8,525",47.5%,52.5%,90.4,,"37,459",97.9%,2.1%,97.9%,92.9%,3.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.3%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1.4%,2.1%,0.4%,1.0%,0.0%,0.1%,,"37,459",94.6%,3.8%,1.4%,0.4%,0.1%,1.8%,,"37,459",3.0%,0.5%,1.0%,0.2%,1.3%,97.0%,92.0%,2.9%,0.2%,0.3%,0.0%,0.3%,1.3%,0.1%,1.2%,"26,296",,"30,560",52.0%,48.0%
"Franklin County, New York",,"50,477",54.4%,45.6%,119.5,4.9%,6.0%,5.5%,6.1%,8.0%,13.6%,11.8%,13.5%,7.4%,6.6%,10.0%,5.1%,1.5%,39.9,19.9%,82.6%,80.1%,75.9%,20.7%,16.6%,"40,417",55.3%,44.7%,123.6,"8,365",47.1%,52.9%,89.2,,"50,477",98.4%,1.6%,98.4%,82.7%,5.7%,7.1%,0.0%,0.0%,0.0%,0.0%,0.6%,0.2%,0.1%,0.0%,0.0%,0.1%,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.2%,2.1%,1.6%,0.6%,0.6%,0.2%,0.0%,,"50,477",84.3%,6.3%,7.7%,0.8%,0.3%,2.3%,,"50,477",3.5%,0.5%,1.9%,0.0%,1.2%,96.5%,81.6%,5.6%,7.1%,0.5%,0.2%,0.1%,1.2%,0.0%,1.2%,"25,754",,"39,776",54.9%,45.1%
"Fulton County, New York",,"53,646",50.0%,50.0%,99.8,5.1%,5.5%,6.1%,5.7%,5.7%,12.0%,11.5%,14.5%,7.4%,7.5%,11.0%,5.3%,2.7%,43.9,20.4%,81.9%,79.6%,76.8%,23.4%,19.0%,"42,710",49.5%,50.5%,97.9,"10,211",44.7%,55.3%,80.9,,"53,646",98.5%,1.5%,98.5%,94.4%,2.1%,0.4%,0.0%,0.0%,0.0%,0.0%,0.8%,0.2%,0.2%,0.2%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,1.5%,0.7%,0.3%,0.3%,0.0%,,"53,646",95.8%,3.0%,0.7%,1.0%,0.0%,1.0%,,"53,646",3.1%,0.2%,2.0%,0.0%,0.8%,96.9%,92.7%,2.0%,0.3%,0.8%,0.0%,0.0%,1.2%,0.0%,1.1%,"29,112",,"42,503",49.6%,50.4%
"Genesee County, New York",,"57,808",50.1%,49.9%,100.3,5.1%,5.8%,5.7%,5.8%,6.0%,12.7%,10.9%,14.2%,8.5%,6.9%,10.0%,5.7%,2.6%,43.1,20.3%,82.2%,79.7%,76.4%,22.2%,18.3%,"46,051",50.0%,50.0%,99.9,"10,593",45.0%,55.0%,81.8,,"57,808",97.3%,2.7%,97.3%,91.9%,2.1%,0.8%,0.0%,0.0%,0.0%,0.0%,0.8%,0.3%,0.2%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1.7%,2.7%,1.6%,0.7%,0.2%,0.0%,,"57,808",94.5%,3.9%,1.6%,1.0%,0.0%,1.8%,,"57,808",3.3%,1.3%,1.0%,0.2%,0.7%,96.7%,90.5%,2.0%,0.8%,0.8%,0.0%,0.1%,2.4%,0.0%,2.4%,"25,797",,"45,503",49.8%,50.2%
"Greene County, New York",,"47,424",52.3%,47.7%,109.6,4.3%,4.1%,5.2%,5.6%,6.3%,12.2%,10.7%,14.3%,7.8%,8.0%,12.8%,6.0%,2.8%,45.9,16.7%,85.5%,83.3%,79.9%,25.9%,21.6%,"39,515",52.3%,47.7%,109.5,"10,262",47.3%,52.7%,89.9,,"47,424",98.1%,1.9%,98.1%,89.6%,5.8%,0.6%,0.1%,0.0%,0.0%,0.0%,1.0%,0.2%,0.3%,0.2%,0.1%,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.9%,0.9%,0.2%,0.3%,0.0%,,"47,424",91.4%,6.9%,1.0%,1.4%,0.0%,1.3%,,"47,424",5.9%,0.7%,3.1%,0.2%,1.9%,94.1%,85.3%,5.4%,0.5%,1.0%,0.0%,0.3%,1.6%,0.0%,1.6%,"29,678",,"38,783",52.3%,47.7%
"Herkimer County, New York",,"62,057",49.5%,50.5%,98.0,5.1%,5.7%,6.2%,6.4%,6.1%,11.0%,10.7%,13.5%,7.6%,7.6%,11.4%,6.0%,2.7%,44.2,20.7%,81.9%,79.3%,75.4%,24.6%,20.1%,"49,187",49.0%,51.0%,96.2,"12,483",45.5%,54.5%,83.5,,"62,057",98.4%,1.6%,98.4%,95.7%,1.3%,0.2%,0.0%,0.0%,0.0%,0.0%,0.6%,0.2%,0.2%,0.1%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.1%,0.0%,0.0%,0.4%,1.6%,0.7%,0.3%,0.2%,0.0%,,"62,057",97.1%,2.3%,0.6%,1.0%,0.2%,0.6%,,"62,057",2.2%,0.4%,1.4%,0.1%,0.3%,97.8%,94.5%,1.0%,0.2%,0.6%,0.0%,0.1%,1.4%,0.1%,1.3%,"33,831",,"48,657",48.9%,51.1%
"Jefferson County, New York",,"112,842",52.5%,47.5%,110.6,7.9%,6.9%,6.0%,5.9%,10.0%,17.0%,11.4%,10.9%,5.5%,5.2%,7.7%,3.9%,1.6%,32.5,24.2%,78.1%,75.8%,71.6%,16.3%,13.2%,"85,560",53.0%,47.0%,112.9,"14,923",44.8%,55.2%,81.3,,"112,842",96.2%,3.8%,96.2%,86.4%,6.1%,0.5%,0.0%,0.1%,0.1%,0.0%,1.8%,0.3%,0.1%,0.5%,0.0%,0.4%,0.0%,0.4%,0.2%,0.1%,0.0%,0.0%,0.1%,1.2%,3.8%,1.6%,0.6%,0.5%,0.2%,,"112,842",89.6%,8.3%,1.5%,2.5%,0.5%,1.8%,,"112,842",7.5%,2.5%,3.1%,0.1%,1.9%,92.5%,81.6%,5.7%,0.4%,1.7%,0.2%,0.0%,2.8%,0.0%,2.8%,"59,969",,"83,757",53.3%,46.7%
"Kings County, New York",,"2,589,974",47.4%,52.6%,90.0,7.4%,6.2%,6.0%,5.4%,6.4%,18.3%,13.9%,11.8%,5.7%,5.4%,7.7%,4.1%,1.8%,35.2,23.0%,79.3%,77.0%,73.9%,16.7%,13.6%,"1,995,328",46.3%,53.7%,86.1,"352,294",40.8%,59.2%,68.8,,"2,589,974",96.8%,3.2%,96.8%,43.7%,32.2%,0.3%,0.0%,0.0%,0.0%,0.0%,11.9%,1.2%,7.9%,0.3%,0.2%,0.3%,0.2%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,8.7%,3.2%,0.7%,0.2%,1.0%,0.1%,,"2,589,974",46.2%,33.6%,0.8%,13.3%,0.1%,9.4%,,"2,589,974",19.0%,3.8%,6.0%,0.3%,8.9%,81.0%,36.4%,30.0%,0.1%,11.8%,0.0%,0.4%,2.2%,0.2%,2.0%,"1,044,493",,"1,656,735",45.7%,54.3%
"Lewis County, New York",,"26,572",50.1%,49.9%,100.3,6.4%,5.9%,6.9%,6.2%,5.7%,11.5%,11.0%,13.2%,8.2%,7.3%,10.1%,5.2%,2.7%,42.2,23.1%,79.4%,76.9%,73.1%,22.2%,17.9%,"20,445",50.1%,49.9%,100.4,"4,755",47.2%,52.8%,89.3,,"26,572",99.1%,0.9%,99.1%,96.8%,0.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.5%,0.1%,0.1%,0.1%,0.0%,0.0%,0.1%,0.2%,0.1%,0.0%,0.0%,0.0%,0.1%,0.6%,0.9%,0.5%,0.3%,0.0%,0.0%,,"26,572",97.6%,1.4%,0.6%,0.6%,0.1%,0.8%,,"26,572",1.7%,0.6%,0.4%,0.1%,0.7%,98.3%,95.9%,0.7%,0.3%,0.5%,0.1%,0.1%,0.7%,0.0%,0.7%,"15,679",,"20,137",50.0%,50.0%
"Livingston County, New York",,"63,591",50.3%,49.7%,101.3,4.3%,4.7%,5.4%,8.4%,10.1%,10.9%,10.5%,13.6%,7.6%,7.3%,10.0%,5.0%,2.1%,41.3,17.9%,84.5%,82.1%,74.4%,21.5%,17.2%,"52,201",50.1%,49.9%,100.2,"10,929",46.0%,54.0%,85.1,,"63,591",98.3%,1.7%,98.3%,92.6%,2.9%,0.2%,0.0%,0.0%,0.0%,0.0%,1.3%,0.3%,0.1%,0.3%,0.1%,0.2%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1.2%,1.7%,0.3%,0.4%,0.3%,0.1%,,"63,591",94.0%,3.4%,0.9%,1.8%,0.2%,1.6%,,"63,591",3.7%,0.6%,2.0%,0.1%,1.0%,96.3%,90.8%,2.6%,0.2%,1.3%,0.0%,0.1%,1.4%,0.1%,1.3%,"27,506",,"50,979",50.1%,49.9%
"Madison County, New York",,"71,205",49.4%,50.6%,97.6,4.7%,5.8%,5.1%,9.0%,8.1%,10.4%,10.4%,13.7%,7.8%,7.4%,10.3%,5.1%,2.2%,41.9,19.4%,83.0%,80.6%,73.0%,21.8%,17.6%,"57,390",49.0%,51.0%,96.2,"12,550",45.8%,54.2%,84.7,,"71,205",98.3%,1.7%,98.3%,94.6%,1.8%,0.5%,0.0%,0.0%,0.0%,0.0%,0.9%,0.1%,0.4%,0.0%,0.0%,0.1%,0.1%,0.2%,0.1%,0.0%,0.0%,0.1%,0.0%,0.4%,1.7%,0.6%,0.4%,0.4%,0.0%,,"71,205",96.2%,2.4%,0.9%,1.3%,0.1%,0.7%,,"71,205",2.2%,0.6%,0.7%,0.1%,0.9%,97.8%,93.1%,1.7%,0.5%,0.9%,0.1%,0.1%,1.5%,0.1%,1.4%,"32,278",,"56,593",49.1%,50.9%
