"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,159","12.2%","7.9%","8.9%","17.1%","10.4%","15.2%","13.8%","13.5%","0.9%","0.2%","40,240","53,897","","(X)","63.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","712","1.1%","9.3%","7.0%","14.5%","7.6%","19.5%","19.1%","20.1%","1.5%","0.3%","70,473","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","545","45.9%","12.1%","14.5%","0.2%","15.0%","4.6%","5.7%","1.3%","0.0%","0.7%","11,563","30,666","","(X)","(X)","37.6%"
"Pendleton County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,253","10.2%","6.0%","9.3%","8.9%","12.7%","16.4%","15.2%","16.9%","3.3%","1.2%","54,375","63,926","","33.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,775","5.6%","3.2%","5.0%","5.6%","14.5%","18.4%","19.7%","22.0%","4.5%","1.5%","69,814","76,333","","(X)","36.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,951","1.3%","1.0%","2.6%","4.7%","14.7%","19.5%","23.5%","26.0%","4.9%","1.9%","80,134","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,478","22.9%","15.0%","18.5%","17.2%","8.9%","12.2%","1.5%","3.2%","0.1%","0.5%","23,150","29,129","","(X)","(X)","24.0%"
"Perry County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,226","15.1%","8.0%","14.2%","14.0%","12.4%","14.6%","9.6%","7.3%","2.8%","1.9%","33,640","53,993","","30.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,715","9.5%","6.8%","11.2%","14.0%","14.5%","14.7%","12.7%","10.4%","3.6%","2.5%","44,405","62,532","","(X)","34.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,933","3.0%","5.2%","8.1%","13.7%","16.1%","17.2%","16.3%","11.8%","5.7%","2.9%","53,840","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,511","28.3%","11.5%","20.5%","16.8%","8.8%","9.0%","3.0%","1.5%","0.0%","0.6%","19,542","32,496","","(X)","(X)","22.7%"
"Pike County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","25,702","14.6%","8.2%","14.9%","12.5%","15.2%","13.1%","9.6%","8.2%","1.8%","1.9%","34,856","52,110","","43.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","17,583","9.0%","6.5%","11.5%","11.6%","17.9%","15.7%","11.7%","11.5%","2.4%","2.3%","44,246","60,384","","(X)","46.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","12,918","3.9%","4.6%","10.6%","10.3%","18.8%","17.8%","14.3%","13.9%","3.2%","2.5%","52,652","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,119","27.7%","12.7%","22.9%","14.8%","9.2%","6.2%","4.2%","0.7%","0.4%","1.2%","18,727","31,464","","(X)","(X)","36.4%"
"Powell County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,770","12.8%","7.3%","12.3%","12.5%","12.4%","15.9%","15.7%","8.6%","1.4%","1.0%","37,469","51,797","","31.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,470","7.7%","4.0%","13.4%","9.4%","13.7%","17.1%","19.9%","11.7%","2.0%","1.1%","53,241","59,725","","(X)","34.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,478","3.8%","2.5%","8.8%","5.9%","12.1%","21.7%","26.2%","14.5%","2.8%","1.6%","68,694","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,300","28.0%","17.0%","15.8%","16.8%","8.2%","12.4%","0.8%","0.5%","0.0%","0.5%","17,321","27,240","","(X)","(X)","22.6%"
"Pulaski County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","25,301","11.7%","8.4%","13.8%","11.4%","12.6%","16.1%","11.7%","9.0%","3.0%","2.2%","39,998","60,035","","39.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","16,771","7.8%","4.5%","11.1%","10.2%","12.5%","19.8%","15.6%","11.6%","4.2%","2.6%","53,373","68,796","","(X)","40.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","12,489","4.7%","2.8%","7.5%","9.0%","12.3%","21.2%","19.2%","14.6%","5.4%","3.3%","66,595","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,530","21.3%","16.3%","19.6%","14.4%","11.0%","10.1%","3.0%","2.3%","0.5%","1.5%","21,207","38,696","","(X)","(X)","37.6%"
"Robertson County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","861","15.0%","4.8%","12.0%","14.3%","9.3%","21.8%","10.0%","9.6%","1.3%","2.0%","41,902","53,601","","34.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","494","9.3%","1.4%","11.5%","10.5%","12.3%","23.3%","12.1%","16.0%","2.2%","1.2%","55,682","63,473","","(X)","35.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","379","6.1%","0.0%","11.6%","10.0%","4.5%","27.7%","15.8%","19.8%","2.9%","1.6%","63,792","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","367","23.7%","9.3%","12.5%","19.3%","10.9%","15.5%","4.6%","1.1%","0.0%","3.0%","27,983","37,650","","(X)","(X)","33.5%"
"Rockcastle County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,544","12.1%","8.7%","18.1%","10.6%","9.5%","19.2%","10.2%","8.2%","2.0%","1.4%","35,720","51,627","","33.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,614","7.8%","4.9%","14.8%","11.7%","10.2%","21.8%","13.0%","11.2%","2.8%","1.9%","51,213","62,179","","(X)","32.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,548","3.8%","3.7%","11.8%","10.2%","9.6%","24.6%","16.1%","14.3%","3.7%","2.2%","60,473","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,930","22.8%","18.2%","26.5%","7.5%","8.3%","12.7%","3.1%","0.8%","0.0%","0.0%","17,660","25,401","","(X)","(X)","33.6%"
"Rowan County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,623","11.3%","7.5%","15.9%","12.1%","15.6%","13.6%","9.0%","9.2%","2.6%","3.3%","38,230","56,144","","41.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,093","7.0%","4.8%","12.0%","9.4%","14.7%","15.9%","12.2%","15.4%","3.7%","4.8%","53,438","71,412","","(X)","42.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,683","3.7%","2.5%","6.4%","9.1%","14.1%","17.0%","15.3%","20.3%","4.9%","6.7%","72,138","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,530","18.7%","12.2%","23.2%","15.9%","14.3%","10.0%","3.5%","0.8%","0.3%","1.1%","21,987","32,298","","(X)","(X)","39.4%"
"Russell County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,922","10.2%","9.4%","15.3%","12.0%","14.0%","17.9%","10.2%","7.4%","1.9%","1.6%","38,390","49,682","","52.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,522","7.2%","5.6%","12.0%","11.1%","14.4%","22.1%","12.7%","9.6%","2.9%","2.4%","49,435","59,686","","(X)","52.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,306","4.2%","3.2%","10.7%","10.6%","16.0%","20.5%","15.3%","12.8%","4.0%","2.6%","55,769","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,400","17.2%","16.7%","23.1%","12.3%","12.5%","11.3%","5.5%","1.3%","0.0%","0.2%","22,236","29,541","","(X)","(X)","51.4%"
"Scott County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","20,551","3.5%","3.9%","6.5%","8.7%","12.0%","17.8%","15.5%","18.4%","7.9%","5.7%","70,817","87,058","","31.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","15,073","2.6%","2.5%","4.9%","6.5%","10.9%","16.7%","17.1%","22.2%","9.6%","7.0%","81,449","97,136","","(X)","29.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","11,760","0.9%","0.7%","2.9%","4.7%","8.6%","15.7%","19.0%","26.8%","11.9%","8.7%","96,063","110,924","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,478","6.1%","9.5%","12.7%","14.7%","15.3%","18.8%","11.2%","7.2%","2.4%","2.1%","41,414","55,101","","(X)","(X)","31.8%"
"Shelby County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","16,624","4.9%","3.9%","7.3%","9.9%","11.4%","17.2%","15.8%","15.6%","6.4%","7.5%","67,056","89,068","","30.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,029","2.9%","2.0%","4.5%","8.8%","12.4%","17.2%","16.6%","17.8%","8.3%","9.5%","78,785","101,074","","(X)","29.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,660","1.2%","1.3%","2.0%","7.0%","11.3%","16.4%","18.9%","20.8%","10.3%","10.8%","90,483","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,595","11.4%","8.9%","16.1%","16.4%","10.6%","12.4%","12.0%","8.7%","1.5%","2.1%","32,694","53,001","","(X)","(X)","31.3%"
"Simpson County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,028","8.0%","3.8%","10.4%","13.8%","14.5%","21.0%","12.2%","11.2%","2.2%","3.0%","48,623","61,077","","33.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,969","5.6%","2.0%","6.6%","10.8%","14.7%","24.2%","14.6%","14.8%","2.9%","3.9%","58,699","70,925","","(X)","36.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,520","0.6%","0.5%","4.1%","6.9%","12.0%","30.7%","18.8%","17.4%","3.6%","5.6%","69,385","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,059","18.5%","9.9%","21.5%","15.4%","15.6%","13.2%","3.2%","1.7%","0.4%","0.6%","25,043","33,303","","(X)","(X)","24.9%"
"Spencer County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,763","5.5%","2.0%","5.4%","7.4%","8.8%","16.3%","19.5%","20.4%","9.0%","5.6%","80,166","91,493","","33.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,464","3.9%","0.9%","4.4%","7.1%","6.5%","16.8%","21.1%","23.0%","9.4%","6.9%","87,072","98,432","","(X)","34.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,479","1.5%","0.6%","1.7%","6.0%","5.2%","17.3%","23.1%","25.1%","11.3%","8.2%","91,858","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,299","12.4%","7.0%","12.7%","14.0%","17.8%","11.3%","12.6%","6.1%","5.9%","0.2%","40,417","54,254","","(X)","(X)","28.3%"
"Taylor County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,857","10.0%","7.3%","12.8%","9.2%","15.8%","20.6%","10.5%","9.9%","2.3%","1.6%","44,522","59,529","","38.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,624","5.0%","2.8%","11.1%","8.7%","16.1%","23.0%","13.6%","14.3%","3.5%","2.0%","56,689","70,974","","(X)","39.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,852","1.5%","0.9%","4.4%","6.8%","18.1%","27.3%","15.0%","19.2%","4.3%","2.4%","64,839","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,233","20.1%","16.6%","18.2%","10.8%","14.6%","14.4%","3.8%","0.6%","0.0%","0.8%","22,200","34,543","","(X)","(X)","35.9%"
"Todd County, Kentucky","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,644","9.7%","9.3%","10.3%","13.8%","11.1%","20.8%","9.5%","11.5%","1.4%","2.7%","44,005","61,829","","34.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,348","4.1%","5.4%","8.0%","14.2%","12.3%","24.6%","12.1%","13.7%","1.9%","3.6%","56,474","73,831","","(X)","34.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,609","2.1%","3.8%","8.0%","9.8%","11.0%","28.7%","13.9%","16.0%","2.5%","4.3%","65,921","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,296","24.6%","18.8%","17.1%","16.6%","9.5%","8.1%","2.8%","2.0%","0.0%","0.5%","16,756","27,128","","(X)","(X)","35.0%"
"Trigg County, Kentucky","","","","","","","","","","","","","","","","",""
