"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","769","6.5%","11.8%","17.9%","16.9%","14.8%","13.3%","12.0%","6.5%","0.3%","0.0%","33,024","43,773","","(X)","(X)","36.0%"
"Decatur County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,053","7.8%","6.1%","11.8%","7.2%","14.4%","25.4%","11.9%","10.8%","2.7%","2.0%","52,753","61,017","","31.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,938","6.3%","2.0%","6.4%","6.3%","17.0%","25.3%","14.9%","14.4%","4.2%","3.0%","62,075","72,867","","(X)","31.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,630","5.0%","1.8%","5.3%","4.1%","17.1%","25.2%","16.5%","16.6%","4.8%","3.6%","66,831","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,115","11.8%","13.5%","22.2%","8.3%","10.0%","24.3%","5.4%","4.2%","0.0%","0.2%","26,677","38,338","","(X)","(X)","29.2%"
"Delaware County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,944","2.9%","3.7%","7.7%","8.4%","13.1%","19.3%","15.7%","17.9%","6.8%","4.6%","69,319","89,206","","30.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,750","1.1%","0.9%","5.4%","5.1%","7.7%","21.7%","19.9%","23.2%","8.5%","6.5%","84,088","107,921","","(X)","29.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,174","1.0%","0.6%","4.2%","3.8%","5.2%","22.8%","20.1%","25.4%","9.5%","7.4%","91,158","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,194","6.7%","9.9%","12.6%","17.3%","24.2%","13.4%","7.6%","4.7%","3.0%","0.6%","37,317","46,733","","(X)","(X)","33.3%"
"Des Moines County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,042","6.7%","6.2%","8.3%","10.5%","14.4%","18.2%","11.6%","15.1%","5.0%","4.3%","54,318","75,655","","32.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,376","3.4%","2.7%","6.5%","7.2%","11.5%","19.9%","16.4%","19.4%","7.0%","6.0%","73,239","93,269","","(X)","33.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,425","1.2%","0.7%","2.0%","4.1%","9.6%","20.6%","18.9%","25.7%","9.5%","7.8%","90,513","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,666","12.2%","11.6%","11.5%","16.9%","18.5%","14.8%","5.1%","6.6%","1.2%","1.5%","33,796","45,790","","(X)","(X)","30.2%"
"Dickinson County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,096","1.4%","3.4%","7.6%","9.3%","13.8%","21.9%","15.5%","15.3%","6.1%","5.7%","65,215","85,749","","32.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,799","0.4%","1.5%","3.6%","6.4%","11.7%","21.1%","18.3%","19.8%","9.8%","7.5%","81,152","104,019","","(X)","30.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,116","0.2%","1.0%","1.8%","5.4%","8.4%","21.9%","19.4%","22.2%","11.1%","8.5%","90,214","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,297","2.9%","6.6%","13.3%","14.6%","18.3%","21.7%","11.7%","7.2%","0.6%","2.9%","44,808","56,544","","(X)","(X)","34.4%"
"Dubuque County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","39,534","4.9%","3.4%","7.5%","8.1%","12.5%","18.0%","15.7%","17.7%","6.4%","5.7%","68,198","88,409","","33.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","25,390","2.5%","1.2%","3.8%","4.3%","11.4%","18.1%","18.7%","23.1%","8.8%","8.1%","85,862","108,558","","(X)","33.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","20,089","0.4%","0.5%","2.2%","2.4%","8.8%","17.8%","20.2%","27.5%","10.2%","9.9%","97,337","121,731","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","14,144","9.5%","7.6%","14.5%","15.5%","15.2%","19.1%","9.8%","6.2%","1.6%","1.0%","36,841","48,807","","(X)","(X)","30.2%"
"Emmet County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,856","5.0%","6.2%","9.2%","8.3%","15.3%","21.9%","12.9%","15.7%","3.2%","2.4%","58,357","69,814","","31.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,162","1.8%","2.9%","6.8%","5.6%","12.9%","21.3%","16.8%","22.8%","5.5%","3.6%","72,750","85,299","","(X)","35.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,635","1.2%","1.8%","7.3%","3.3%","10.9%","18.7%","17.3%","27.4%","7.3%","4.8%","82,452","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,694","9.4%","11.5%","12.1%","12.8%","19.1%","22.4%","6.8%","4.9%","0.2%","0.9%","37,913","47,521","","(X)","(X)","25.4%"
"Fayette County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,107","6.2%","4.8%","12.0%","11.1%","15.0%","18.8%","13.6%","12.7%","2.4%","3.4%","50,973","66,913","","32.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,783","3.2%","2.3%","5.4%","8.8%","13.2%","22.3%","18.0%","17.8%","3.8%","5.2%","65,975","84,651","","(X)","31.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,878","1.7%","1.8%","3.5%","8.0%","12.3%","21.5%","20.2%","20.2%","4.5%","6.4%","76,747","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,324","11.3%","8.4%","22.6%","13.8%","18.7%","13.9%","5.5%","4.8%","0.2%","0.8%","31,353","39,550","","(X)","(X)","32.3%"
"Floyd County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,712","5.9%","2.6%","9.3%","13.9%","12.7%","18.5%","15.6%","13.7%","3.4%","4.4%","55,827","72,756","","30.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,974","1.9%","0.3%","7.8%","5.9%","9.9%","19.5%","21.6%","20.6%","5.6%","6.9%","81,099","92,295","","(X)","27.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,222","0.5%","0.0%","2.0%","4.2%","9.0%","20.8%","23.0%","25.1%","6.9%","8.5%","88,447","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,738","12.0%","6.0%","13.0%","25.8%","16.4%","18.2%","5.2%","2.9%","0.3%","0.2%","32,162","38,526","","(X)","(X)","34.4%"
"Franklin County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,108","8.2%","4.7%","7.9%","8.2%","13.2%","25.1%","12.3%","15.3%","2.9%","2.2%","59,019","68,856","","49.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,773","4.8%","2.6%","2.3%","9.3%","14.1%","25.6%","15.9%","18.6%","4.2%","2.6%","66,929","79,723","","(X)","52.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,318","3.4%","0.8%","1.1%","8.8%","13.2%","25.5%","18.2%","21.7%","5.0%","2.4%","71,706","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,335","15.4%","9.1%","19.8%","7.6%","13.3%","21.9%","4.5%","6.7%","0.3%","1.3%","31,350","44,080","","(X)","(X)","42.6%"
"Fremont County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,742","3.0%","3.7%","9.2%","9.7%","11.8%","20.9%","14.8%","17.1%","5.4%","4.4%","63,611","77,897","","34.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,752","2.6%","0.1%","4.6%","7.8%","10.4%","21.1%","17.5%","21.1%","8.0%","7.0%","78,523","94,184","","(X)","34.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,462","1.0%","0.1%","1.8%","5.4%","11.3%","22.4%","17.5%","23.4%","8.7%","8.3%","84,141","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","990","7.0%","9.6%","18.2%","12.1%","15.4%","19.0%","9.2%","9.6%","0.0%","0.0%","37,847","45,739","","(X)","(X)","35.1%"
"Greene County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,790","5.0%","5.1%","7.8%","11.5%","17.7%","19.4%","13.9%","13.9%","3.1%","2.7%","52,768","67,177","","33.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,228","3.0%","3.7%","3.9%","7.5%","12.1%","22.1%","16.8%","21.4%","5.5%","3.9%","72,937","84,202","","(X)","37.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,747","1.0%","2.0%","1.0%","6.2%","10.2%","22.1%","20.1%","25.7%","6.6%","5.0%","82,181","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,562","8.8%","7.6%","14.3%","19.0%","26.8%","14.9%","7.4%","1.0%","0.1%","0.3%","35,118","38,590","","(X)","(X)","27.7%"
"Grundy County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,024","3.0%","2.3%","7.2%","5.2%","14.0%","18.7%","17.3%","18.0%","7.9%","6.4%","74,552","89,503","","34.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,485","1.3%","0.8%","2.1%","3.6%","9.9%","20.1%","21.8%","22.2%","9.6%","8.6%","87,236","104,876","","(X)","35.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,972","0.6%","0.5%","1.8%","2.1%","9.6%","17.6%","21.5%","25.5%","11.1%","9.8%","97,014","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,539","8.0%","5.5%","18.7%","10.3%","23.7%","15.7%","9.3%","4.4%","2.7%","1.7%","39,162","50,465","","(X)","(X)","30.8%"
"Guthrie County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,463","4.6%","4.3%","7.2%","8.1%","13.6%","16.6%","14.5%","19.2%","6.8%","5.1%","67,625","84,587","","36.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,162","2.4%","1.7%","4.8%","5.9%","10.9%","18.1%","18.3%","23.9%","7.2%","6.7%","83,417","97,025","","(X)","34.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,675","2.2%","0.5%","2.7%","4.4%","8.8%","17.8%","19.4%","27.9%","8.3%","7.9%","91,547","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,301","9.9%","11.2%","14.4%","14.0%","19.3%","14.6%","5.1%","8.5%","2.5%","0.5%","35,602","49,037","","(X)","(X)","39.0%"
"Hamilton County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,993","4.4%","4.4%","8.9%","7.6%","13.8%","22.1%","14.7%","13.9%","5.4%","4.7%","62,183","77,932","","41.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,782","1.5%","0.9%","6.2%","6.6%","12.1%","22.2%","16.9%","18.5%","8.1%","7.0%","75,806","95,235","","(X)","44.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,074","0.2%","0.3%","3.5%","3.3%","9.6%","21.9%","20.0%","22.6%","9.9%","8.6%","89,192","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,211","9.5%","10.4%","15.8%","12.9%","15.7%","20.1%","9.3%","4.6%","0.8%","0.9%","35,983","45,001","","(X)","(X)","37.3%"
"Hancock County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,610","5.4%","5.3%","5.9%","5.8%","13.7%","22.7%","16.8%","16.0%","4.3%","4.1%","64,730","75,699","","40.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,201","4.5%","1.9%","2.8%","5.3%","11.9%","22.9%","20.4%","18.8%","6.1%","5.4%","77,622","87,681","","(X)","42.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,725","1.7%","1.5%","2.2%","3.6%","10.5%","23.7%","23.0%","20.6%","7.2%","6.0%","82,033","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,409","7.6%","12.8%","13.3%","9.1%","17.1%","22.0%","7.9%","8.7%","0.2%","1.2%","41,046","46,868","","(X)","(X)","34.1%"
"Hardin County, Iowa","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,033","6.3%","3.7%","10.7%","11.2%","11.5%","20.2%","15.6%","15.1%","3.4%","2.0%","58,845","67,769","","42.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,358","2.5%","1.0%","4.7%","7.7%","10.5%","22.9%","21.4%","21.4%","5.0%","2.9%","75,729","84,762","","(X)","39.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,688","0.6%","0.9%","3.2%","6.1%","9.5%","23.6%","22.6%","24.3%","5.9%","3.4%","81,114","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,675","12.8%","8.2%","20.6%","18.3%","14.8%","14.9%","6.0%","3.2%","0.9%","0.4%","28,973","37,916","","(X)","(X)","48.5%"
