"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","8,788","9.5%","5.4%","10.3%","20.4%","14.6%","19.9%","10.2%","8.2%","0.2%","1.3%","39,917","51,510","","(X)","(X)","37.7%"
"Schley County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,861","14.0%","1.8%","11.6%","10.5%","13.9%","21.6%","12.7%","9.0%","4.0%","1.0%","49,105","57,598","","39.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,481","7.0%","1.4%","10.3%","9.6%","16.5%","24.3%","15.4%","10.7%","3.6%","1.3%","56,964","64,458","","(X)","38.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,117","4.3%","0.4%","7.8%","4.6%","17.6%","28.6%","18.9%","12.2%","4.7%","1.0%","64,014","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","380","41.1%","3.2%","16.8%","13.9%","3.7%","11.1%","2.1%","8.2%","0.0%","0.0%","15,902","28,344","","(X)","(X)","43.4%"
"Screven County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,939","9.2%","7.8%","13.3%","14.3%","11.2%","16.2%","11.2%","11.4%","2.7%","2.6%","39,852","58,486","","52.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,187","5.9%","4.1%","6.1%","14.9%","14.4%","17.8%","13.5%","15.7%","3.9%","3.7%","58,042","72,074","","(X)","53.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,135","2.0%","1.8%","4.2%","12.5%","17.9%","15.5%","16.3%","20.4%","5.3%","4.2%","67,452","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,752","17.2%","14.0%","26.9%","11.7%","5.4%","14.0%","6.2%","3.9%","0.0%","0.6%","21,605","32,623","","(X)","(X)","50.2%"
"Seminole County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,364","11.7%","12.8%","10.9%","14.1%","15.2%","12.9%","8.1%","10.7%","2.3%","1.1%","35,286","58,946","","64.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,166","13.0%","11.1%","7.2%","8.9%","16.5%","15.1%","8.9%","14.3%","3.2%","1.8%","44,023","71,450","","(X)","63.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,225","6.8%","2.0%","5.0%","7.6%","16.2%","23.4%","14.0%","17.6%","4.6%","2.8%","59,531","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,198","14.0%","18.3%","17.8%","16.6%","12.8%","10.6%","5.0%","4.1%","0.8%","0.0%","24,931","33,847","","(X)","(X)","65.6%"
"Spalding County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","25,693","7.1%","6.5%","11.3%","10.9%","15.2%","19.4%","11.4%","11.3%","3.3%","3.7%","48,970","77,242","","35.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","17,683","5.0%","3.8%","9.6%","7.8%","16.6%","21.4%","12.0%","14.8%","4.6%","4.5%","58,486","92,315","","(X)","36.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","11,033","0.8%","2.2%","5.1%","4.9%","15.1%","23.1%","16.1%","19.0%","7.3%","6.5%","72,998","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,010","14.3%","12.3%","16.5%","16.9%","14.1%","13.6%","6.5%","3.2%","0.5%","2.0%","28,650","40,535","","(X)","(X)","29.6%"
"Stephens County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,977","8.3%","7.5%","11.4%","11.8%","13.9%","20.5%","9.2%","13.7%","2.6%","1.2%","46,766","57,713","","44.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,609","1.7%","3.1%","5.7%","11.3%","17.6%","24.8%","12.6%","17.5%","3.9%","1.8%","63,400","71,391","","(X)","42.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,898","0.3%","1.3%","3.6%","9.9%","18.1%","26.2%","13.7%","19.5%","5.0%","2.4%","67,576","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,368","23.3%","16.3%","21.7%","15.0%","6.3%","11.5%","1.8%","4.0%","0.0%","0.1%","19,654","28,061","","(X)","(X)","48.7%"
"Stewart County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,845","7.7%","13.4%","18.9%","10.9%","19.4%","10.9%","8.1%","6.1%","2.0%","2.6%","34,028","49,419","","42.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,099","3.6%","5.2%","18.9%","7.9%","34.5%","10.6%","4.3%","8.9%","3.3%","2.7%","39,589","54,095","","(X)","51.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","656","0.9%","2.6%","10.4%","7.5%","32.9%","14.6%","7.2%","14.0%","5.3%","4.6%","45,333","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","746","13.7%","25.5%","18.9%","15.4%","8.2%","11.3%","2.7%","2.0%","0.0%","2.4%","21,406","36,945","","(X)","(X)","30.3%"
"Sumter County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,419","11.4%","7.3%","14.2%","14.8%","11.9%","14.8%","10.9%","9.9%","2.6%","2.0%","37,174","55,167","","44.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,109","5.4%","2.5%","12.9%","15.2%","11.8%","16.8%","16.1%","12.1%","4.1%","3.1%","53,930","68,445","","(X)","44.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,416","1.4%","1.0%","5.4%","12.7%","8.7%","21.4%","20.7%","16.9%","6.7%","5.0%","74,194","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,310","21.6%","15.4%","19.9%","11.5%","12.3%","11.7%","3.5%","3.8%","0.0%","0.3%","23,062","31,309","","(X)","(X)","40.2%"
"Talbot County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,891","7.6%","6.7%","15.9%","15.5%","14.1%","17.7%","8.7%","7.7%","4.5%","1.6%","40,020","53,706","","54.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,927","2.3%","3.9%","11.9%","17.6%","17.1%","21.8%","7.6%","10.6%","6.7%","0.5%","48,168","59,711","","(X)","53.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,109","0.7%","3.2%","11.9%","11.5%","16.1%","21.7%","11.3%","11.1%","11.7%","0.8%","58,945","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","964","18.3%","12.2%","24.0%","13.5%","9.4%","10.4%","6.6%","1.9%","0.0%","3.7%","22,850","39,762","","(X)","(X)","55.3%"
"Taliaferro County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","662","9.7%","11.0%","14.8%","9.4%","26.6%","16.5%","5.4%","5.7%","0.3%","0.6%","37,717","45,557","","34.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","442","5.4%","6.8%","13.6%","23.5%","18.1%","15.6%","8.1%","7.5%","0.5%","0.9%","36,071","51,730","","(X)","34.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","214","5.1%","2.8%","15.9%","10.3%","15.4%","26.6%","10.7%","11.2%","0.9%","0.9%","50,278","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","220","18.2%","19.5%","17.3%","8.2%","28.6%","5.9%","0.0%","2.3%","0.0%","0.0%","19,500","26,873","","(X)","(X)","34.5%"
"Tattnall County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,345","9.3%","4.3%","13.2%","11.3%","17.7%","16.5%","10.3%","12.2%","2.1%","3.2%","44,053","60,430","","38.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,773","4.1%","2.5%","10.3%","9.4%","17.8%","19.5%","13.3%","15.7%","2.7%","4.6%","55,145","72,453","","(X)","43.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,857","1.9%","1.7%","6.8%","5.1%","17.7%","18.5%","16.2%","21.5%","3.8%","6.9%","73,992","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,572","20.7%","8.9%","20.5%","17.5%","17.4%","8.9%","3.5%","2.0%","0.7%","0.0%","24,964","30,637","","(X)","(X)","26.8%"
"Taylor County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,623","19.5%","9.3%","13.9%","12.2%","16.0%","9.2%","10.4%","5.7%","1.7%","2.2%","28,550","45,813","","49.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,315","18.4%","1.8%","14.7%","13.0%","15.6%","9.5%","12.2%","8.9%","2.7%","3.2%","37,474","55,399","","(X)","52.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,455","14.4%","2.4%","3.0%","12.3%","18.5%","11.5%","15.6%","13.5%","3.7%","5.1%","49,115","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,308","23.4%","20.7%","12.5%","11.5%","18.3%","7.7%","5.6%","0.0%","0.0%","0.3%","20,317","27,687","","(X)","(X)","41.8%"
"Telfair County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,481","7.5%","16.8%","12.6%","15.7%","12.7%","11.6%","13.5%","6.8%","0.6%","2.2%","32,764","53,563","","60.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,121","11.5%","6.4%","12.3%","14.6%","13.1%","13.3%","16.7%","8.5%","0.9%","2.6%","41,836","57,937","","(X)","59.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,908","5.5%","1.2%","12.6%","13.8%","12.6%","12.3%","22.6%","13.8%","1.5%","4.1%","60,926","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,360","12.4%","36.5%","15.5%","14.6%","7.7%","7.5%","3.5%","1.1%","0.0%","1.2%","15,235","37,037","","(X)","(X)","59.7%"
"Terrell County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,355","10.9%","9.1%","13.8%","16.0%","10.0%","17.0%","8.8%","12.1%","0.9%","1.5%","35,335","50,360","","46.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,222","9.2%","10.7%","10.5%","15.2%","10.7%","15.1%","11.6%","14.2%","1.3%","1.5%","40,352","54,833","","(X)","47.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,281","7.4%","1.2%","5.1%","17.9%","8.5%","18.1%","16.9%","20.3%","2.0%","2.7%","62,917","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,133","17.4%","9.4%","21.4%","14.7%","9.3%","17.1%","1.8%","7.4%","0.2%","1.3%","25,975","37,778","","(X)","(X)","42.7%"
"Thomas County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,750","7.3%","6.5%","10.9%","14.8%","12.5%","16.0%","11.5%","12.3%","5.0%","3.3%","47,133","67,917","","42.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,289","5.8%","3.5%","10.1%","11.9%","8.7%","19.3%","13.9%","16.8%","5.5%","4.4%","60,467","79,764","","(X)","43.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,069","1.9%","1.2%","5.4%","9.0%","7.7%","19.4%","18.7%","22.5%","7.9%","6.3%","81,823","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,461","14.5%","13.1%","13.9%","18.9%","18.7%","13.6%","4.6%","1.4%","0.6%","0.8%","29,425","35,163","","(X)","(X)","39.6%"
"Tift County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,868","7.1%","6.8%","14.4%","14.1%","12.0%","18.1%","10.3%","10.9%","3.5%","2.9%","44,827","63,049","","58.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,828","5.8%","3.9%","10.8%","14.9%","10.6%","17.4%","14.2%","14.2%","4.3%","4.0%","54,928","75,024","","(X)","58.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,688","1.9%","1.2%","5.5%","12.8%","9.8%","21.5%","17.7%","18.2%","6.3%","5.1%","71,992","91,611","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,040","10.5%","12.7%","22.2%","15.6%","13.2%","17.6%","3.4%","2.6%","1.5%","0.6%","26,463","36,704","","(X)","(X)","58.5%"
"Toombs County, Georgia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,792","10.8%","6.3%","14.3%","12.2%","15.3%","13.1%","9.0%","11.6%","5.4%","1.8%","41,244","65,244","","49.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,458","7.7%","3.3%","9.7%","11.1%","16.8%","14.0%","12.4%","14.5%","7.9%","2.6%","54,474","81,199","","(X)","48.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,520","2.0%","1.5%","7.1%","10.7%","15.5%","14.6%","16.1%","18.4%","10.5%","3.7%","72,617","N","","(X)","(X)","(X)"
